Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,55.0470060263006,26.75713234488619,5.100160460589054,2.0000000000000018e-2,7.296144739379322e-4,"cx0_1: 2.568e-2, cx0_14: 4.652e-2",Wed Jul 08 2020 01:00:33 GMT-0700 (Pacific Daylight Time)
Q1,53.88091694823023,98.63506486700874,5.238468236573485,1.0050000000000003e-1,8.664458139968589e-4,"cx1_0: 2.568e-2, cx1_2: 1.174e-2, cx1_13: 6.123e-2",Wed Jul 08 2020 01:00:33 GMT-0700 (Pacific Daylight Time)
Q2,75.14888757831058,104.71668645512135,5.032824758573963,2.200000000000002e-2,8.081801363309367e-4,"cx2_1: 1.174e-2, cx2_3: 2.516e-2, cx2_12: 2.899e-2",Wed Jul 08 2020 01:00:33 GMT-0700 (Pacific Daylight Time)
Q3,76.18761404608973,56.41812418573095,4.896120841139779,8.550000000000002e-2,8.231998444342083e-4,"cx3_2: 2.516e-2, cx3_4: 2.353e-2, cx3_11: 2.386e-2",Wed Jul 08 2020 01:00:33 GMT-0700 (Pacific Daylight Time)
Q4,67.66603677281607,32.89402055233546,5.026231902679902,5.249999999999999e-2,1.247573129463669e-3,"cx4_3: 2.353e-2, cx4_5: 2.482e-2, cx4_10: 2.414e-2",Wed Jul 08 2020 01:00:33 GMT-0700 (Pacific Daylight Time)
Q5,22.572341099112364,47.83514956374377,5.066896716443315,6.15e-2,2.0027410287633005e-3,"cx5_4: 2.482e-2, cx5_6: 3.704e-2, cx5_9: 3.024e-2",Wed Jul 08 2020 01:00:33 GMT-0700 (Pacific Daylight Time)
Q6,80.41665813121425,102.84668389081806,4.924030243188003,5.5499999999999994e-2,1.0398606922874321e-3,"cx6_5: 3.704e-2, cx6_8: 3.190e-2",Wed Jul 08 2020 01:00:33 GMT-0700 (Pacific Daylight Time)
Q7,47.466616056142676,85.38611043889405,4.974503339781141,4.0000000000000036e-2,1.3302623220341682e-3,"cx7_8: 3.470e-2",Wed Jul 08 2020 01:00:33 GMT-0700 (Pacific Daylight Time)
Q8,28.237115582300238,42.391204595843526,4.740680965420513,2.8200000000000003e-1,6.490119873821816e-4,"cx8_6: 3.190e-2, cx8_7: 3.470e-2, cx8_9: 2.930e-2",Wed Jul 08 2020 01:00:33 GMT-0700 (Pacific Daylight Time)
Q9,38.86348305096451,77.09393523903911,4.963278702899612,4.300000000000004e-2,1.2432773619719963e-3,"cx9_5: 3.024e-2, cx9_8: 2.930e-2, cx9_10: 1.008e-1",Wed Jul 08 2020 01:00:33 GMT-0700 (Pacific Daylight Time)
Q10,60.81013499480306,50.48137715441282,4.945213690445607,2.4499999999999966e-2,1.2081055587173264e-3,"cx10_4: 2.414e-2, cx10_9: 1.008e-1, cx10_11: 2.169e-2",Wed Jul 08 2020 01:00:33 GMT-0700 (Pacific Daylight Time)
Q11,74.98973481167806,129.92463438992976,5.0049588085891275,4.349999999999998e-2,5.379108380807018e-4,"cx11_3: 2.386e-2, cx11_10: 2.169e-2, cx11_12: 1.519e-2",Wed Jul 08 2020 01:00:33 GMT-0700 (Pacific Daylight Time)
Q12,106.7873500754736,57.65969395153683,4.759997473405552,4.200000000000004e-2,6.546279008863025e-4,"cx12_2: 2.899e-2, cx12_11: 1.519e-2, cx12_13: 3.813e-2",Wed Jul 08 2020 01:00:33 GMT-0700 (Pacific Daylight Time)
Q13,28.981923595004364,52.03381940176195,4.968323691688088,8.250000000000002e-2,2.273557214365905e-3,"cx13_1: 6.123e-2, cx13_12: 3.813e-2, cx13_14: 4.214e-2",Wed Jul 08 2020 01:00:33 GMT-0700 (Pacific Daylight Time)
Q14,39.65566338824697,46.740286606822124,5.0014716208867585,4.699999999999993e-2,6.642951390457702e-4,"cx14_0: 4.652e-2, cx14_13: 4.214e-2",Wed Jul 08 2020 01:00:33 GMT-0700 (Pacific Daylight Time)
